school,grade,kpop,tdap,tdBooster,MCV,HepB,MMR,HepA,Varicel,missing,page
Ackerly,8,10,5,0,5,6,6,5,6,4,47
Barret Traditional Middle,8,204,203,1,203,203,203,181,203,1,48
Binet School,8,7,6,0,6,7,7,4,7,0,49
Boys & Girls Haven,8,2,2,0,2,2,2,0,2,0,50
Brooklawn,8,13,13,0,12,13,13,6,12,1,51
Carrithers Middle,8,221,210,2,210,219,219,93,217,1,52
Churchill Park School,8,4,4,0,4,4,4,2,4,0,53
Conway Middle,8,274,262,3,262,272,270,123,264,6,54
Crosby Middle,8,392,373,1,369,391,389,302,386,1,55
ESL Newcomer Academy,8,86,33,24,31,29,34,12,22,46,56
Farnsley Middle,8,354,348,5,348,352,350,183,349,2,57
Frederick Law Olmsted Academy North,8,229,210,29,208,222,222,134,216,7,58
Frederick Law Olmsted Academy South,8,233,213,22,210,221,223,69,219,14,59
Highland Middle,8,251,233,2,231,245,245,112,241,7,60
Home Of The Innocents Discovery,8,2,1,0,1,2,2,1,2,0,61
Home Of The Innocents School,8,4,3,0,3,3,3,1,3,2,62
J. Graham Brown School,8,61,61,0,61,61,60,53,61,0,63
Jefferson County Traditional Middle,8,305,305,1,305,305,305,239,305,0,64
Johnson Traditional Middle,8,290,290,2,290,290,289,250,287,0,65
Kammerer Middle,8,318,275,6,269,309,310,157,300,9,66
Knight Middle,8,140,138,3,138,139,137,104,137,1,67
Lassiter Middle,8,301,280,18,279,295,294,172,293,6,68
Liberty High,8,16,14,0,14,14,14,5,14,2,69
Louisville Metro Youth Center,8,3,3,0,3,3,3,0,3,0,70
Marion C. Moore School,8,348,321,14,314,340,342,205,336,5,71
Mary Jo and William MacDonald Maryhurst,8,7,7,0,7,7,7,2,7,1,72
Meyzeek Middle,8,344,329,2,329,342,342,274,337,0,73
Minor Daniels Academy,8,35,31,0,30,34,34,17,34,1,74
Newburg Middle,8,324,289,34,286,310,311,187,306,10,75
Noe Middle,8,474,449,17,447,462,463,353,459,11,76
Peace Academy,8,17,15,0,15,16,16,9,16,1,77
Ramsey Middle,8,368,334,7,334,362,361,231,357,5,78
St Joseph Children's Home,8,3,3,0,3,3,3,2,3,1,79
Stuart Academy,8,367,334,1,334,361,360,174,358,7,80
The Academy @ Shawnee,8,46,42,1,41,46,46,30,44,1,81
The Brook-KMI,8,20,13,0,13,14,14,9,14,6,82
The Phoenix School Of Discovery,8,49,47,0,48,49,49,36,49,0,83
Thomas Jefferson Middle,8,341,312,22,309,332,331,242,327,9,84
Waller-Williams Environmental,8,13,13,0,13,13,13,7,13,0,85
Western Middle School for the Arts,8,197,186,7,187,193,192,99,187,2,86
Westport Middle,8,399,344,16,338,380,380,173,376,19,87
Ackerly,11,5,2,0,0,3,3,0,3,2,88
Atherton High,11,357,325,6,190,337,338,186,321,17,89
Ballard High,11,456,396,7,66,420,420,112,398,38,90
Binet School,11,9,9,1,5,9,9,5,9,0,91
Breckinridge Metropolitan High,11,33,28,1,1,33,33,5,29,0,92
Brooklawn,11,12,12,0,1,12,12,3,12,0,93
Butler Traditional High,11,387,387,18,305,387,386,272,384,0,94
Central High Magnet Career Academy,11,278,274,40,72,272,276,96,265,1,95
Churchill Park School,11,7,7,1,4,7,7,6,7,0,96
Doss High,11,241,227,28,99,230,232,108,222,21,97
Dupont Manual High,11,474,469,2,171,471,470,203,466,2,98
Eastern High,11,477,443,7,110,451,452,153,437,21,99
ESL Newcomer Academy,11,33,14,10,3,12,11,2,8,13,100
Fairdale High,11,319,314,21,137,313,312,150,306,4,101
Fern Creek High,11,401,372,47,98,375,379,136,364,17,102
Georgia Chaffee Teenage Parent Program,11,26,26,1,17,26,26,15,26,0,103
Home Of The Innocents School,11,3,2,0,0,2,2,0,2,1,104
Iroquois High,11,301,227,39,24,221,231,25,207,63,105
J. Graham Brown School,11,52,52,0,31,52,52,28,52,0,106
Jefferson County High,11,155,136,5,15,146,145,27,134,6,107
Jeffersontown High,11,236,225,11,90,224,226,104,219,9,108
Liberty High,11,44,41,2,5,44,44,8,41,0,109
Louisville Day,11,6,6,1,0,6,6,1,6,1,110
Louisville Male High,11,500,500,31,448,498,497,405,496,0,111
Louisville Metro Youth Center,11,5,5,1,0,5,5,0,5,0,112
Marion C. Moore School,11,295,284,26,92,282,285,117,272,18,113
Mary Jo and William MacDonald Maryhurst,11,15,14,0,3,15,15,1,14,0,114
Mary Ryan Academy,11,5,5,0,3,5,5,4,5,0,115
Minor Daniels Academy,11,15,12,0,4,14,14,4,12,1,116
Peace Academy,11,15,14,1,7,15,15,4,14,1,117
Pleasure Ridge Park High,11,403,390,44,208,397,396,174,388,8,118
Seneca High,11,306,270,28,86,275,275,93,262,39,119
Southern High,11,292,266,30,84,273,277,85,266,18,120
The Academy @ Shawnee,11,97,91,4,43,91,93,42,91,4,121
The Brook-KMI,11,9,7,0,5,7,7,5,7,2,122
The Phoenix School Of Discovery,11,54,53,1,33,54,53,32,53,0,123
Valley High,11,226,223,8,121,223,221,113,216,3,124
Waggener High,11,218,184,12,49,193,194,69,187,22,125
Waller-Williams Environmental,11,8,8,0,1,8,8,2,8,0,126
Western High,11,168,157,5,62,163,163,61,156,8,127
Ackerly,9,3,3,0,3,3,3,2,3,0,557
Atherton High,9,393,367,4,368,382,383,171,375,7,558
Ballard High,9,525,490,3,492,503,504,226,495,17,559
Binet School,9,6,6,0,6,6,6,3,6,2,560
Breckinridge Metropolitan High,9,58,52,3,50,57,57,15,54,2,561
Brooklawn,9,29,28,1,27,29,29,9,29,1,562
Butler Traditional High,9,450,446,10,445,449,449,317,444,0,563
Central High Magnet Career Academy,9,345,332,25,332,340,341,130,335,3,564
Churchill Park School,9,8,8,0,8,8,8,7,8,1,565
Doss High,9,234,225,22,221,229,228,135,225,14,566
Dupont Manual High,9,474,462,9,461,465,465,199,459,5,567
Eastern High,9,548,508,7,507,531,531,189,521,16,568
ESL Newcomer Academy,9,235,68,46,67,53,64,11,44,159,569
Fairdale High,9,365,357,9,355,359,360,222,353,6,570
Fern Creek High,9,473,443,34,443,461,462,222,449,8,571
Georgia Chaffee Teenage Parent Program,9,6,6,0,6,6,6,2,6,0,572
Home Of The Innocents School,9,11,8,0,8,9,9,6,9,3,573
Iroquois High,9,334,282,35,280,300,301,73,289,32,574
J. Graham Brown School,9,66,66,1,66,65,65,44,65,0,575
Jefferson County High,9,49,47,1,46,47,47,5,46,2,576
Jeffersontown High,9,257,238,9,234,248,247,120,241,9,577
Liberty High,9,61,56,1,56,61,61,8,57,0,578
Louisville Day,9,14,13,1,14,14,14,5,14,1,579
Louisville Male High,9,529,529,4,529,529,529,283,527,0,580
Louisville Metro Youth Center,9,17,14,0,14,17,17,2,15,0,581
Marion C. Moore School,9,345,311,31,311,334,337,179,325,9,582
Mary Jo and William MacDonald Maryhurst,9,13,9,0,10,12,12,6,11,1,583
Mary Ryan Academy,9,7,6,0,6,6,6,2,6,1,584
Minor Daniels Academy,9,59,49,2,49,56,57,15,55,2,585
Peace Academy,9,29,24,1,24,25,25,10,25,4,586
Pleasure Ridge Park High,9,385,373,2,374,378,379,223,373,8,587
Seneca High,9,310,284,20,282,294,297,141,291,17,588
Southern High,9,333,315,18,314,318,322,153,314,13,589
The Academy @ Shawnee,9,143,131,1,131,140,141,58,138,4,590
The Brook-KMI,9,24,17,0,17,19,19,10,18,7,591
The Phoenix School Of Discovery,9,57,56,3,56,56,56,43,56,1,592
Valley High,9,227,219,2,220,223,223,121,223,6,593
Waggener High,9,255,225,9,223,242,245,111,237,9,594
Waller-Williams Environmental,9,7,5,1,5,6,6,3,6,1,595
Western High,9,199,185,4,185,193,193,78,190,5,596
Ackerly,7,1,0,0,0,0,0,0,0,1,698
Barret Traditional Middle,7,214,213,9,213,214,214,204,213,0,699
Boys & Girls Haven,7,1,1,0,1,1,1,0,1,0,700
Brooklawn,7,14,6,1,7,14,14,9,12,1,701
Carrithers Middle,7,231,202,3,199,222,223,130,219,7,702
Churchill Park School,7,7,6,0,6,7,7,6,7,0,703
Conway Middle,7,273,252,1,252,270,267,139,262,11,704
Crosby Middle,7,356,316,5,315,347,349,272,347,8,705
ESL Newcomer Academy,7,96,60,37,66,57,59,20,36,28,706
Farnsley Middle,7,365,352,2,352,364,364,295,364,1,707
Frederick Law Olmsted Academy North,7,188,168,15,165,181,183,136,178,4,708
Frederick Law Olmsted Academy South,7,237,199,18,196,222,224,106,221,10,709
Georgia Chaffee Teenage Parent Program,7,1,1,0,1,1,1,1,1,0,710
Highland Middle,7,314,244,3,241,306,306,210,304,10,711
Home Of The Innocents Discovery,7,2,0,0,0,1,1,1,0,1,712
Home Of The Innocents School,7,2,1,0,1,2,2,1,2,0,713
J. Graham Brown School,7,66,64,2,65,65,65,59,65,0,714
Jefferson County Traditional Middle,7,297,296,4,296,297,297,247,295,1,715
Johnson Traditional Middle,7,274,274,1,274,274,274,247,272,0,716
Kammerer Middle,7,321,254,8,251,310,310,197,304,10,717
Knight Middle,7,157,153,3,151,154,151,134,150,0,718
Lassiter Middle,7,350,334,18,333,342,339,266,337,6,719
Liberty High,7,5,5,0,5,5,5,3,5,0,720
Louisville Metro Youth Center,7,1,0,0,0,1,1,0,1,0,721
Marion C. Moore School,7,360,312,19,306,356,357,270,353,3,722
Mary Jo and William MacDonald Maryhurst,7,5,3,0,3,5,5,2,5,1,723
Meyzeek Middle,7,373,339,8,339,369,370,309,366,2,724
Minor Daniels Academy,7,35,27,1,27,35,35,21,35,1,725
Newburg Middle,7,371,317,35,308,367,365,246,361,3,726
Noe Middle,7,426,399,12,396,420,421,347,418,4,727
Peace Academy,7,18,14,0,14,14,14,10,13,4,728
Ramsey Middle,7,345,290,5,286,339,339,208,336,5,729
St Joseph Children's Home,7,2,2,0,2,2,2,1,2,0,730
Stuart Academy,7,457,428,2,422,446,443,207,445,10,731
The Academy @ Shawnee,7,39,34,0,34,37,36,28,36,2,732
The Brook-Dupont,7,2,2,0,2,2,2,2,2,0,733
The Brook-KMI,7,4,2,0,2,3,3,3,3,1,734
The Phoenix School Of Discovery,7,52,46,2,46,52,52,42,52,0,735
Thomas Jefferson Middle,7,349,309,15,308,339,337,278,336,6,736
Waller-Williams Environmental,7,13,11,0,11,13,13,12,13,0,737
Western Middle School for the Arts,7,209,188,5,188,205,203,124,202,3,738
Westport Middle,7,437,344,10,337,414,414,226,404,20,739
Ackerly,6,2,0,0,0,0,0,0,0,2,740
Barret Traditional Middle,6,220,213,10,213,219,219,210,218,0,741
Binet School,6,2,2,0,2,2,2,2,2,0,742
Brooklawn,6,26,16,1,16,24,24,17,23,3,743
Carrithers Middle,6,224,150,1,148,217,218,162,215,5,744
Churchill Park School,6,4,3,1,2,4,4,2,4,0,745
Conway Middle,6,278,192,0,193,276,276,183,275,8,746
Crosby Middle,6,343,260,5,253,335,339,268,336,4,747
ESL Newcomer Academy,6,88,36,13,29,35,39,16,22,46,748
Farnsley Middle,6,372,296,5,291,371,371,287,371,0,749
Frederick Law Olmsted Academy North,6,195,133,11,126,185,187,127,184,7,750
Frederick Law Olmsted Academy South,6,260,130,11,116,245,247,145,244,14,751
Highland Middle,6,317,185,7,173,309,308,211,306,6,752
Home Of The Innocents Discovery,6,2,1,0,0,1,1,0,1,1,753
Home Of The Innocents School,6,5,2,1,1,5,5,1,5,0,754
J. Graham Brown School,6,75,74,0,74,75,74,67,74,0,755
Jefferson County Traditional Middle,6,318,296,3,296,317,315,278,315,2,756
Johnson Traditional Middle,6,313,271,4,270,311,312,263,312,1,757
Kammerer Middle,6,335,228,2,219,328,328,243,327,7,758
Knight Middle,6,144,116,2,117,144,140,116,141,0,759
Lassiter Middle,6,390,268,16,259,379,383,273,377,6,760
Marion C. Moore School,6,355,195,11,189,353,350,223,344,3,761
Mary Jo and William MacDonald Maryhurst,6,5,0,0,0,4,4,1,4,1,762
Meyzeek Middle,6,371,293,9,291,368,367,304,367,1,763
Minor Daniels Academy,6,11,4,0,4,11,11,7,11,0,764
Newburg Middle,6,367,242,22,231,353,357,251,352,6,765
Noe Middle,6,440,377,16,372,434,433,377,431,11,766
Peace Academy,6,20,16,1,15,19,19,14,18,0,767
Ramsey Middle,6,357,208,1,208,351,348,234,348,5,768
Robert Frost Sixth-Grade Academy,6,421,295,5,296,416,414,312,412,4,769
St Joseph Children's Home,6,6,5,0,5,6,6,4,6,0,770
The Academy @ Shawnee,6,43,35,0,35,42,41,34,41,1,771
The Brook-Dupont,6,5,2,0,1,5,5,2,5,0,772
The Phoenix School Of Discovery,6,56,43,0,41,55,55,43,55,1,773
Thomas Jefferson Middle,6,400,294,16,281,385,382,290,380,14,774
W.E.B. DuBois Academy,6,150,129,2,130,149,148,120,148,1,775
Waller-Williams Environmental,6,18,8,0,7,18,18,11,17,0,776
Western Middle School for the Arts,6,209,117,6,116,207,206,134,206,2,777
Westport Middle,6,440,229,13,218,424,422,244,415,11,778
Ackerly,10,1,1,0,0,1,1,0,1,0,779
Atherton High,10,346,330,4,24,336,336,137,332,10,780
Ballard High,10,469,417,5,22,436,434,113,422,33,781
Binet School,10,4,4,0,1,4,4,3,4,0,782
Breckinridge Metropolitan High,10,47,40,1,4,45,45,9,41,4,783
Brooklawn,10,20,17,0,1,19,19,7,18,0,784
Butler Traditional High,10,412,411,7,95,411,411,288,411,0,785
Central High Magnet Career Academy,10,329,323,23,28,322,326,87,319,2,786
Churchill Park School,10,8,8,1,3,8,8,7,8,0,787
Doss High,10,262,251,33,44,254,256,124,248,10,788
Dupont Manual High,10,486,481,7,48,481,481,188,481,5,789
Eastern High,10,550,523,5,35,533,533,196,522,16,790
ESL Newcomer Academy,10,100,30,17,5,23,26,6,17,68,791
Fairdale High,10,318,307,14,64,308,308,178,301,7,792
Fern Creek High,10,458,437,50,55,443,446,201,434,13,793
Georgia Chaffee Teenage Parent Program,10,15,15,0,7,15,15,9,15,0,794
Home Of The Innocents Discovery,10,4,3,0,0,4,4,1,4,0,795
Home Of The Innocents School,10,6,5,0,1,5,5,2,5,2,796
Iroquois High,10,290,231,22,12,226,232,25,217,50,797
J. Graham Brown School,10,56,56,0,7,56,56,31,56,0,798
Jefferson County High,10,123,104,2,9,113,113,14,104,10,799
Jeffersontown High,10,233,216,8,20,220,222,105,211,11,800
Liberty High,10,98,87,0,10,98,98,16,87,0,801
Louisville Day,10,20,20,0,4,20,20,9,19,0,802
Louisville Male High,10,501,501,4,35,500,500,231,499,0,803
Louisville Metro Youth Center,10,12,11,1,3,12,12,4,12,1,804
Marion C. Moore School,10,302,288,16,47,291,289,149,283,12,805
Mary Jo and William MacDonald Maryhurst,10,16,16,0,2,16,16,2,15,3,806
Mary Ryan Academy,10,8,7,0,3,8,8,4,7,0,807
Minor Daniels Academy,10,34,32,3,6,34,34,9,33,0,808
Peace Academy,10,26,25,1,6,24,24,10,24,1,809
Pleasure Ridge Park High,10,369,359,13,53,364,365,172,357,5,810
Seneca High,10,304,274,26,44,279,282,108,272,30,811
Southern High,10,350,326,42,30,331,333,122,326,24,812
The Academy @ Shawnee,10,103,94,4,12,102,102,49,99,3,813
The Brook-KMI,10,10,6,0,3,6,6,3,6,3,814
The Phoenix School Of Discovery,10,46,45,2,7,46,46,27,46,0,815
Valley High,10,284,276,5,53,283,283,144,278,5,816
Waggener High,10,219,191,11,13,200,203,70,190,12,817
Waller-Williams Environmental,10,4,4,0,0,4,4,2,4,0,818
Western High,10,160,148,3,18,154,154,49,151,9,819
Ackerly,12,4,2,0,2,2,2,1,2,2,922
Ahrens Educational Resource Center,12,3,2,0,0,3,3,1,2,0,923
Atherton High,12,339,328,5,257,335,335,228,322,2,924
Ballard High,12,419,376,6,66,396,395,88,374,17,925
Binet School,12,8,8,1,8,8,8,5,8,0,926
Breckinridge Metropolitan High,12,21,19,1,4,21,20,4,19,1,927
Brooklawn,12,6,6,0,3,6,6,4,6,0,928
Butler Traditional High,12,394,394,20,314,394,394,268,387,0,929
Central High Magnet Career Academy,12,274,266,19,90,269,271,102,259,1,930
Churchill Park School,12,9,9,2,7,9,9,6,9,0,931
Doss High,12,249,233,36,95,232,238,87,225,9,932
Dupont Manual High,12,472,463,4,217,465,463,207,456,4,933
Eastern High,12,423,392,13,114,396,396,138,383,23,934
ESL Newcomer Academy,12,5,1,2,0,2,2,0,1,3,935
Fairdale High,12,285,284,28,159,284,284,145,278,1,936
Fern Creek High,12,371,365,47,102,361,363,109,342,8,937
Georgia Chaffee Teenage Parent Program,12,27,26,3,22,26,25,24,26,1,938
Home Of The Innocents Discovery,12,4,3,0,0,3,3,2,3,1,939
Home Of The Innocents School,12,1,1,0,0,1,1,0,1,0,940
Iroquois High,12,230,176,53,17,169,179,16,160,45,941
J. Graham Brown School,12,53,53,4,46,53,53,43,52,0,942
Jefferson County High,12,312,248,23,26,272,275,40,241,36,943
Jeffersontown High,12,234,225,16,88,225,226,91,213,9,944
Liberty High,12,53,49,2,3,52,52,6,48,0,945
Louisville Day,12,4,4,0,0,4,4,0,4,0,946
Louisville Male High,12,398,398,12,290,398,398,282,393,0,947
Louisville Metro Youth Center,12,2,2,0,0,2,2,0,2,0,948
Marion C. Moore School,12,264,252,31,79,252,258,97,239,7,949
Mary Jo and William MacDonald Maryhurst,12,5,5,0,0,5,5,0,5,1,950
Mary Ryan Academy,12,13,13,2,6,13,13,7,13,0,951
Minor Daniels Academy,12,8,8,0,2,8,8,0,7,0,952
Peace Academy,12,10,10,2,2,10,10,1,10,0,953
Pleasure Ridge Park High,12,388,368,43,200,381,381,165,358,9,954
Seneca High,12,249,224,25,66,229,231,71,213,20,955
Southern High,12,287,268,31,86,273,275,66,258,18,956
The Academy @ Shawnee,12,96,89,2,54,94,94,46,88,2,957
The Brook-KMI,12,4,3,0,2,3,3,2,3,1,958
The Phoenix School Of Discovery,12,50,48,1,25,49,49,26,48,1,959
U OF L Pact Program,12,1,0,0,0,1,1,0,0,0,960
Valley High,12,240,234,12,139,239,239,123,230,1,961
Waggener High,12,208,178,12,50,187,188,57,172,15,962
Waller-Williams Environmental,12,4,4,0,0,4,4,1,4,0,963
Western High,12,134,126,8,46,131,131,49,124,6,964
